Product Name,Product / Color,System (G),System (Citric)
,,,0
Bath salt cube rose clay,Rose Clay Cube - Bright Pink,56.4,9.18
Bath salt cube rose slay,Rose Clay Cube - Pale Pink,24.6,8.2
bath salt cube rose clay,Rose Clay Cube - Salt,3.5,0
,,,0
Love Boat'21,Hearts for Love Boat,0.1,0
,,,0
Choccomint,Chocomint '18,186.31,62.1
Groovy,GroovyKindOfLove'18 Blue,17.84,5.95
Groovy,GroovyKindOfLove'18 Oran,49.96,16.65
Groovy,GroovyKindOfLove'18 Pink,35.93,11.98
Groovy,GroovyKindOfLove'18 Yell,35.93,11.98
Groovy,GroovyKindOfLove'18 Purp,17.84,5.95
Geode,Geode - Gold,117.832523,39.28
Geode,Geode - Pink,23.597968,7.87
Geode,Geode - Gold Salt,10.487986,0
Geode,Geode - Purple Salt,5.720719,0
Lucky cat Pink,Lucky Cat - Orange,9.026815,3.01
Lucky cat pink,Lucky Cat - Yellow,77.223185,25.74
Lucky cat pink,Lucky Cat Spray,9,0
Deep sleep Muslin,Deep Sleep Bomb - Main,168.75,56.25
Flower Power,Flower Power main,183.95,61.32
,,,0
Ginger Ninja,Ginger ninja red,10.06,3.35
Ginger Ninja,Ginger ninja white,110,36.67
strawberry & Cream,Strawberries&Cream Green,2.31,0.77
Strawberry & Cream,Strawberries&Cream Red,39.385,13.13
Strawberries & Cream,Strawberries&Cream Cream Filling,11.9,0
Pirates Of The Carragenan,Pirates O T C - Main,136,45.33
Pirates Of The Carragenan,Pirates O T C - Yellow,45,15
youki hi,Youki Hi '18 Pressing,178,59.33
youki hi,Youki Hi '18 - Salt,3.7,0
sushi,sushi white,131.44,43.81
geo PHYZZ,Geo Phyzz '18,58,19.33
hi ho silver,hi ho silver main,53,17.67
Hi ho Silver,hi ho silver insert,21.4,7.13
goldrush,Goldrush - Main,42.988418,14.33
Goldrush,Goldrush - Insert,26.608866,7.07
moon spell,Moon Spell Pink,65.57,19.59
Moon spell,Moon Spell Blue,142.22,47.41
peng,Peng blue,25,8.33
Peng,Peng Red,23.08,7.69
Peng,Peng white,91.67,30.56
Peng,Peng yellow,25,8.33
Turmeric Latte,Turmeric Latte Cream Mix,41.76,13.92
Turmeric Latte,Turmeric LatteDecoration,0.384,0
Turmeric Latte,Turmeric Latte Gold Out,42.912,14.3
Splash,Splash Dark blue,65.15,21.72
Splash,Splash pale Blue,65.15,21.72
Splash,Splash white,45.6,15.2
Turmeric Latte,Turmeric Latte Gold Ins,59.04,19.68
yokuzuna,yokuzuna red salt,23,0
Kappa,Kappa Blue,165,55
Kappa,Kappa Green,12.518,4.17
Blue skies & Fluffy white clouds,Blue skies & Fluffy white clouds Blue,86.21,28.74
Blue skies & Fluffy white clouds,Blue skies & Fluffy white clouds White,86.21,28.74
Ne worry pas harajuku,Ne worry pas harajuku,173.08,57.69
Yokuzuna,Yokuzuna Black,2.22,0.74
Yokuzuna,Yokuzuna orange,136.84,45.61
Yokuzuna,Yokuzuna white,34,11.33
Figaro Figaro,Figaro green,1.94,0.65
Figaro Figaro,Figaro Pink,73.21,24.4
Figaro Figaro,Figaro yellow,16.67,5.56
Magic Harajuku,Magic '18 Turquoise,143.48,47.83
Shijimi Butterfly,Shijimi Butterfly Dark blue,40.49,13.5
Shijimi Butterfly,Shijimi Butterfly light blue,40.49,13.5
Shijimi Butterfly,Shijimi Butterfly black,7,2.33
Levander giant bombshell,Levander Giant Bombshell top,160.214,53.4
Fairy Jasmine harajuku,Fairy Jasmine '18 Main,182.16,60.72
tea and sympathy harajuku,Tea and Sympathy '18,178.5,59.5
Bom Perignon,Bom Perignon main,89.85,29.95
star spell,Star Spell Yellow,54.48,18.16
Star spell,Star Spell Red,105.2,35.07
sea salt Giant bombshell,Sea Salt Bombshell Bottom,103.125,34.38
Fairy Trumpets,Fairy Trumpets '18 Pink,80.46,26.82
Fairy Trumpets,Fairy Trumpets '18Yellow,99.34,33.11
Magma,Magma '18 Orange,55,18.33
Magma,Magma '18 Red,70,23.33
Magma,Magma '18 Yellow,55,18.33
fruity,fruity top,153.18,51.06
fruity,fruity bottom,167.41,55.8
Levander giant bombshell,lavander Giant bombshell bottom,179.04,59.68
Magic Harajuku,Magic '18 Pink,31.62,10.54
So White '18,So White '18 Main,168,56
Blue pill shower,Blue Pill shower bomb,61.26,7.96
Red pill shower,Red Pill shower bomb,60.2,7.82
Comfort Zone shower,Comfort Zone shower bomb,36.267,4.6
Wake up call shower,Wake Up Call shower bomb,41.82,4.65
Luck shower,Luck shower bomb,42.42,5.51
Love shower,Love shower bomb,36.32,4.72
Meditation shower,Meditation shower bomb,40.13,5.21
Meditation Shower Bomb,Meditation shower bomb Spray,3.3,0
Validation shower,Validation shower bomb,31.94,4.15
Supernatural shower,Supernatural Powers ShBo,50.34,6.54
Tantric EnergyShower,Tantric EnergyShowerBomb,40.41,5.25
sea salt Giant bombshell,Sea Salt Bombshell Top,103.125,34.38
Safflower Bath Salt,Safflower Bath Salt,4,0
Safflower Bath Salt,Safflower Bath Yellow,27.74,9.25
Safflower Bath Salt,Safflower Bath Green,63.64,21.21
Golden Pear Bottom,golden pear bottom,70,23.33
Golden Pear Top,golden pear top,53.33,17.78
,,,0
Which couldron pink,which couldron pink,14.7345,4.91
Which couldron green,which couldron green,18.414,6.14
Which couldron yellow,which couldron yellow,16.203,5.4
Time traveller Pink,Time traveller pink,9.8505,3.28
time traveller blue,Time traveller Blue,12.309,4.1
Time traveller purple,Time traveller purple,11.5005,3.83
,,,0
Groovy Party Kit (10),Groovy Party Kit (10) Blue,178.4,59.47
Groovy Party Kit (10),Groovy Party Kit (10) Orange,499.6,166.53
Groovy Party Kit (10),Groovy Party Kit (10) Pink,359.3,119.77
Groovy Party Kit (10),Groovy Party Kit (10) Yellow,359.3,119.77
Groovy Party Kit (10),Groovy Party Kit (10) Purple,178.4,59.47
,,,0
,,,
,,,
,,,
,,,
,,,
,,,0
Geode kit 50ea,Geode kit 50 Gold,6200,2066.67
Geode kit 50ea,Geode kit 50ea Pink,1240,413.33
Geode kit 50ea,Geode kit 50ea Gold salt,550,0
Geode kit 50ea,Geode kit 50ea purple salt,550,0
,,,0
Hulder kit 10ea,Hulder kit 10ea decoration,20,6.67
Hulder kit 10ea,Hulder kit 10ea Green,1240,413.33
Hulder kit 10ea,Hulder kit 10ea Purple,225,75
Hulder kit 10ea,Hulder kit 10ea Purple salt,90,0
Hulder kit 10ea,Hulder kit 10ea Green salt,90,0
,,,0
Blackberry kit 10ea,Blackberry kit 10ea,1760,586.67
,,,0
Hulder kit 50ea,Hulder kit 50ea decoration,9,3
Hulder kit 50ea,Hulder kit 50ea Green,6200,2066.67
Hulder kit 50ea,Hulder kit 50ea Purple,1125,375
Hulder kit 50ea,Hulder kit 50ea Purple salt,450,0
Hulder kit 50ea,Hulder kit 50ea Green salt,450,0
,,,0
Pirates kit 50ea,Pirates kit 50ea main,6800,2266.67
Piratess kit 50ea,Pirates kit 50ea yellow,2250,750
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
Pirates kit 10ea,Pirates kit 10ea main,1400,466.67
Pirates kit 10 ea,Pirates kit 10ea yellow,450,150
,,,0
,,,0
,,,0
butterball kit 20ea,Butterball kit 20ea,1594,554.25
,,,0
,,,0
,,,0
,,,0
,,,0
,,,0
Calm a Lama,Calm A Llama Insert,0,0
Calm a Lama,Calm A Llama Orange,54.8595,18.29
Calm a Lama,Calm A Llama Pink,54.69525,18.23
Calm a Lama,Calm A Llama Yellow,54.69525,18.23
,,,0
catepillar,Caterpillar Green Top,50.729073,16.91
catepillar,Caterpillar Green Belly Top,1.8037,0.6
catepillar,Caterpillar Orange Top,41.259646,13.75
catepillar,Caterpillar Yellow Top,9.018502,3.01
catepillar,Caterpillar Green Belly Bottom,3.607401,1.2
catepillar,Caterpillar Green Bottom,93.792419,31.26
catepillar,Caterpillar Yellow Bottom,18.037004,6.01
blacberry party kits 50,Blackberry Party Kit (50ea),8800,2933.33
,,,0
Pumpkin With Insert,Pumpkin '19 Green,4.14,1.38
Pumpkin With Insert,Pumpkin '19 Orange,91.08,30.36
Pumpkin With Insert,Pumpkin '19 Yellow,8.28,2.76
WSD,World's Smallest Disco '19 - Black,150,50
WSD,World's Smallest Disco '19 - Pink,3.57,1.19
Lush Pud Dots,Lush Pud '20 - Blue Dot,5.25,1.75
Lush Pud Dots,Lush Pud '20 - Green Dot,5.25,1.75
Lush Pud Dots,Lush Pud '20 - Orange Dot,5.25,1.75
Lush Pud Dots,Lush Pud '20 - Green Holly,1,0.33
Luxury Lush Pud '20,Lush Pud '20 - Pink,124.55,41.52
Luxury Lush Pud '20,Lush Pud '20 - White,21,7
Dont let the bells end,Don't Let The Bells End - Orange,166.67,55.56
Dont Let The Bells End - Bell,Don't Let The Bells End - Yellow Bell,30,10
Dont Let The Bells End - Bell,Don't Let The Bells End - Red Ribbon,2.5,0.83
,,,0
,,,0
Fly me to the moon,Fly Me To The Moon - White,166.67,55.56
Fly me to the moon,Fly Me To The Moon - Purple UFO,36,12
,,,0
Giant Lush Pud,Giant Lush Pud - Blue Dot (T),9,3
Giant Lush Pud,Giant Lush Pud - Green Leaf,3,1
Giant Lush Pud,Giant Lush Pud - Orange Dot (T),18,6
