Product Name,New Target
Salt Water Soother Cube,416
Valentine Bombshell '23 - Top,624
Valentine Bombshell '23 - Bottom,624
Valentine Bombshell '23 - Whole product,312
Birding Boat bath bomb,416
There's Room '22,218
There's Room'22 Yellow Ears,"15,600"
There's Room'22 Pink Cheeks,"15,600"
Out Of This World,520
Tisty Tosty '23 (Mini),832
Slammer,624
Time To Relax '23,260
Time To Relax '23 Plug,676
Tea Party '23,322
Tea Party '23  Dots,"78,000"
Ostara'23,250
Golden egg'23,754
Mistery Box - Ice Flower,177
Mistery Box - Gold Coin,177
Mistery Box - Fire Flower,177
Mistery Box - Star Soap,146
Mistery Box - Blue Mushroom,177
Mistery Box - Red Mushroom,177
Follow the white rabbit-Party kits,40
Intergalactic-Party kits,42
Absolute Delight,"1,248"
Sex N the Shower,551
Giant Question Block,0
Question Block BOX 1,0
Question Block BOX 2,0
Question Block BOX 3,0
Bluebell Bath Bomb,"7,800"
Primrose Bath Bomb,"7,800"
Question Block MIXED,0
Yoga Bom Bath Bomb,0
Put the boot in,780
Uchimizu'23,"2,184"
Fuurin'23,"2,184"
Kokage'23,"2,184"
Hinata'23,"2,184"
Hibana'23,"1,560"
San San'23,"2,496"
Witch's Cauldron Pink,"2,080"
Witch's Cauldron Yellow,"6,240"
Witch's Cauldron Green,"6,240"
Time Traveller Fun Purple,"10,400"
Time Traveller Fun Pink,"10,400"
Time Traveller Fun Blue Star,"7,280"
Giant Yellow Submarine,5
Intergalactic '23,624
Supernova,572
Intergalactic'23-Party kits,42
Sponge Bob Silly,385
Suprised Patrick,385
Krabby Bathy Bun Top,728
Krabby Bathy Bun Bottom,"1,872"
Bat Art '23,624
Bat Art '23 (Sheets),936
Ghostie '23,416
Jason's Mummy '23,468
Lord Of Misrule '23,676
Magic Potion '23,385
Punkin Pumpkin '23,364
Screaming Banshee '23,468
Screamo '23,780
Screamo '23  (Sheet),780
UFO '23,380
UFO '23 LID,"1,144"
Butterbear '23,"2,080"
Butterbear '23 (Sheet),"2,080"
Catch Me If You Can '23,676
Chocolate Santa '23 GCO,432
Groovy Fairy '23,"2,080"
Lump Of Coal '23,832
Magical Santa '23,312
Penguin '23,400
Shoot For Stars '23,728
Sleepy Bear '23,"1,040"
Sleepy Bear '23 (Sheets),"1,872"
Snow Angel '23 GCO,676
Snow Dragon '23,728
Snow Dragon '23 (Sheets),"1,664"
Snow Drift '23,468
Snow Fairy BAL '23,676
Snow Fairy Lights '23,468
Snow Fairy Lights '23 LID,"1,217"
Snowy '23,551
Strawberry Santa ShFoam,728
Sweet Pudding '23,780
The Wishing Lamp '23,260
The Wishing Lamp '23 LID,"1,248"
Twinkle '23 GCO,664
Asteroid,468
PartyKit-Punkin Pumpkin,62
PartyKit-Ghostie,52
Snow Fairy Lights '23 Confetti Blue,"78,000"
Snow Fairy Lights '23 Confetti Orange,"78,000"
Snow Fairy Lights '23 Confetti Pink,"78,000"
Snow Fairy Lights '23 Confetti Yellow,"78,000"
Snow Fairy Lights '23 Confetti Green,"78,000"
Welcome Bath bomb,520
Dreidel ,780
Diwali Dyia Yellow insert ,884
Diwali Dyia Main ,312
Cempasuchil,374
Gary The Snail '23,416
Mermaid '23,395
Belonging BAL '23,728
Belonging MINI BAL,"1,560"
Courage BAL '23,728
Courage MINI BAL,"1,560"
Empowerment BAL '23,728
Empowerment MINI BAL,"1,560"
Energy BAL '23,572
Energy MINI BAL,936
Hope BAL '23,728
Hope MINI BAL,"1,560"
Inspiration BAL '23,572
Inspiration MINI BAL,936
Mischief BAL '23,572
Mischief MINI BAL,936
Nourished BAL '23,728
Nourished MINI BAL,"1,560"
Peace BAL '23,728
Peace MINI BAL,"1,560"
Resilience BAL '23,728
Resilience MINI BAL,"1,560"
Simplicity BAL '23,728
Simplicity MINI BAL,"1,560"
Marigold Toner Tab,936
Barbie,780
Unicorn Poop Bath bomb'23,468
Lord Of Misrule BUB '23,"40,000"
Glitterball Bath Bomb v2,400
World Piece'23 GCO,600
Snow Fairy BAL '23 Line,676
